column,feature_set,reason
loan_amnt,both,
term,excluded,"has 1 value across all rows because it was restricted by the cohort, excluded by Test 1"
int_rate,set1,"assigned based on grade/sub_grade, included only in Set 1 by decisions.md #5"
installment,set1,"can derive int_rate in combination with loan_amnt, considering every loan is 36 months, included only in Set 1 by Test 4"
grade,set1,"derived from the LC model, included only in Set 1 by decisions.md #5"
sub_grade,set1,"derived from the LC model, included only in Set 1 by decisions.md #5"
emp_title,excluded,"has 86,091 levels, excluded by Test 3"
emp_length,both,"an ordinal held as text with a capped top level. mapped to numbers at modelling, see the encoding entry"
home_ownership,both,
annual_inc,both,
verification_status,both,
issue_d,excluded,"not a constant, but a model trained on 2015 loans scored on a new applicant has no use for this field. it is the funding month, which is after approval, excluded by Test 2"
loan_status,target,the charge-off the model predicts
desc,excluded,"has 39 populated rows, excluded by Test 1"
purpose,both,
title,excluded,"title and purpose are one variable in two encodings, purpose is the representation kept"
zip_code,excluded,"at least 1/4 of the levels hold 66 or fewer loans, which is unmodellable, excluded by Test 3"
addr_state,both,
dti,both,
delinq_2yrs,both,
earliest_cr_line,both,"a date, not a duration. converted to months of credit history at modelling, see the encoding entry"
fico_range_low,both,
fico_range_high,both,
inq_last_6mths,both,
mths_since_last_delinq,both,
mths_since_last_record,both,
open_acc,both,
pub_rec,both,
revol_bal,both,
revol_util,both,
total_acc,both,
initial_list_status,both,
collections_12_mths_ex_med,both,
mths_since_last_major_derog,both,
policy_code,excluded,"has 1 value across all rows, excluded by Test 1"
acc_now_delinq,both,
tot_coll_amt,both,
tot_cur_bal,both,
open_acc_6m,excluded,"coverage is confined to December, so the populated rows carry one month of the vintage rather than a sample of it, excluded by Test 1"
open_act_il,excluded,"coverage is confined to December, so the populated rows carry one month of the vintage rather than a sample of it, excluded by Test 1"
open_il_12m,excluded,"coverage is confined to December, so the populated rows carry one month of the vintage rather than a sample of it, excluded by Test 1"
open_il_24m,excluded,"coverage is confined to December, so the populated rows carry one month of the vintage rather than a sample of it, excluded by Test 1"
mths_since_rcnt_il,excluded,"coverage is confined to December, so the populated rows carry one month of the vintage rather than a sample of it, excluded by Test 1"
total_bal_il,excluded,"coverage is confined to December, so the populated rows carry one month of the vintage rather than a sample of it, excluded by Test 1"
il_util,excluded,"coverage is confined to December, so the populated rows carry one month of the vintage rather than a sample of it, excluded by Test 1"
open_rv_12m,excluded,"coverage is confined to December, so the populated rows carry one month of the vintage rather than a sample of it, excluded by Test 1"
open_rv_24m,excluded,"coverage is confined to December, so the populated rows carry one month of the vintage rather than a sample of it, excluded by Test 1"
max_bal_bc,excluded,"coverage is confined to December, so the populated rows carry one month of the vintage rather than a sample of it, excluded by Test 1"
all_util,excluded,"coverage is confined to December, so the populated rows carry one month of the vintage rather than a sample of it, excluded by Test 1"
total_rev_hi_lim,both,
inq_fi,excluded,"coverage is confined to December, so the populated rows carry one month of the vintage rather than a sample of it, excluded by Test 1"
total_cu_tl,excluded,"coverage is confined to December, so the populated rows carry one month of the vintage rather than a sample of it, excluded by Test 1"
inq_last_12m,excluded,"coverage is confined to December, so the populated rows carry one month of the vintage rather than a sample of it, excluded by Test 1"
acc_open_past_24mths,both,
avg_cur_bal,both,
bc_open_to_buy,both,
bc_util,both,
chargeoff_within_12_mths,both,
delinq_amnt,both,
mo_sin_old_il_acct,both,"the column has no published description in either dictionary sheet, and its Test 2 timing is inferred from mo_sin_old_rev_tl_op"
mo_sin_old_rev_tl_op,both,
mo_sin_rcnt_rev_tl_op,both,
mo_sin_rcnt_tl,both,
mort_acc,both,
mths_since_recent_bc,both,
mths_since_recent_bc_dlq,both,"the column has no published description in either dictionary sheet, and its Test 2 timing is inferred from mths_since_recent_bc"
mths_since_recent_inq,both,"the column has no published description in either dictionary sheet, and its Test 2 timing is inferred from inq_last_6mths"
mths_since_recent_revol_delinq,both,
num_accts_ever_120_pd,both,
num_actv_bc_tl,both,
num_actv_rev_tl,both,
num_bc_sats,both,
num_bc_tl,both,
num_il_tl,both,
num_op_rev_tl,both,
num_rev_accts,both,
num_rev_tl_bal_gt_0,both,
num_sats,both,
num_tl_120dpd_2m,excluded,"non-modal values are thinly represented, 189 rows across 4 distinct non-modal values with 33 bad events, excluded by Test 3"
num_tl_30dpd,both,
num_tl_90g_dpd_24m,both,
num_tl_op_past_12m,both,
pct_tl_nvr_dlq,both,
percent_bc_gt_75,both,
pub_rec_bankruptcies,both,
tax_liens,both,
tot_hi_cred_lim,both,
total_bal_ex_mort,both,
total_bc_limit,both,
total_il_high_credit_limit,both,
disbursement_method,excluded,"has 1 value across all rows, excluded by Test 1"
